run,epoch,phase,image_name,ground_truth,prediction
1,1,train,second_gen_p_18_0.png,1,2
1,1,train,second_gen_p_18_z_90.png,1,2
1,1,train,second_gen_p_3_0.png,2,2
1,1,train,second_gen_p_3_z_90.png,1,2
1,1,train,second_gen_p_18_0.png,0,1
1,1,train,second_gen_p_18_z_90.png,2,1
1,1,train,second_gen_p_3_0.png,0,1
1,1,train,second_gen_p_3_z_90.png,1,1
1,1,train,second_gen_p_18_0.png,0,1
1,1,train,second_gen_p_18_z_90.png,1,1
1,1,train,second_gen_p_3_0.png,2,1
1,1,train,second_gen_p_3_z_90.png,0,1
1,1,train,second_gen_p_18_0.png,0,1
1,1,train,second_gen_p_18_z_90.png,0,1
1,1,train,second_gen_p_3_0.png,2,1
1,1,train,second_gen_p_3_z_90.png,0,1
1,1,train,second_gen_p_18_0.png,2,1
1,1,train,second_gen_p_18_z_90.png,1,1
1,1,train,second_gen_p_3_0.png,0,1
1,1,train,second_gen_p_3_z_90.png,2,0
1,1,train,second_gen_p_18_0.png,2,0
1,1,train,second_gen_p_18_z_90.png,1,0
1,1,train,second_gen_p_3_0.png,2,0
1,1,train,second_gen_p_3_z_90.png,1,0
1,1,train,second_gen_p_18_0.png,0,0
1,1,train,second_gen_p_18_z_90.png,0,0
1,1,train,second_gen_p_3_0.png,2,2
1,1,train,second_gen_p_3_z_90.png,1,0
1,1,train,second_gen_p_18_0.png,1,0
1,1,train,second_gen_p_18_z_90.png,2,2
1,1,train,second_gen_p_3_0.png,1,0
1,1,train,second_gen_p_3_z_90.png,1,0
1,1,train,second_gen_p_18_0.png,0,2
1,1,train,second_gen_p_18_z_90.png,2,2
1,1,train,second_gen_p_3_0.png,2,2
1,1,train,second_gen_p_3_z_90.png,0,0
1,1,test,second_gen_p_16_0.png,0,2
1,1,test,second_gen_p_16_x_-30.png,0,2
1,1,test,second_gen_p_16_x_-60.png,0,2
1,1,test,second_gen_p_16_x_30.png,0,2
1,1,test,second_gen_p_16_x_60.png,0,2
1,1,test,second_gen_p_16_z_-30.png,0,2
1,1,test,second_gen_p_16_z_-60.png,0,2
1,1,test,second_gen_p_16_z_30.png,0,2
1,1,test,second_gen_p_16_z_60.png,0,0
1,1,test,second_gen_p_3_x_-30.png,0,0
1,1,test,second_gen_p_3_x_-60.png,0,2
1,1,test,second_gen_p_3_x_30.png,0,2
1,1,test,second_gen_p_3_x_60.png,0,2
1,1,test,second_gen_p_3_z_-30.png,0,2
1,1,test,second_gen_p_3_z_-60.png,0,2
1,1,test,second_gen_p_3_z_30.png,0,0
1,1,test,second_gen_p_3_z_60.png,0,0
1,1,test,second_gen_q_56_0.png,1,2
1,1,test,second_gen_q_56_x_-30.png,1,2
1,1,test,second_gen_q_56_x_-60.png,1,0
1,1,test,second_gen_q_56_x_30.png,1,2
1,1,test,second_gen_q_56_x_60.png,1,2
1,1,test,second_gen_q_56_z_-30.png,1,2
1,1,test,second_gen_q_56_z_-60.png,1,2
1,1,test,second_gen_q_56_z_30.png,1,2
1,1,test,second_gen_q_56_z_60.png,1,2
1,1,test,second_gen_q_66_x_-30.png,1,2
1,1,test,second_gen_q_66_x_-60.png,1,2
1,1,test,second_gen_q_66_x_30.png,1,2
1,1,test,second_gen_q_66_x_60.png,1,2
1,1,test,second_gen_q_66_z_-30.png,1,2
1,1,test,second_gen_q_66_z_-60.png,1,2
1,1,test,second_gen_q_66_z_30.png,1,0
1,1,test,second_gen_q_66_z_60.png,1,0
1,1,test,second_gen_v_11_0.png,2,2
1,1,test,second_gen_v_11_x_-30.png,2,2
1,1,test,second_gen_v_11_x_-60.png,2,0
1,1,test,second_gen_v_11_x_30.png,2,2
1,1,test,second_gen_v_11_x_60.png,2,2
1,1,test,second_gen_v_11_z_-30.png,2,2
1,1,test,second_gen_v_11_z_-60.png,2,2
1,1,test,second_gen_v_11_z_30.png,2,0
1,1,test,second_gen_v_11_z_60.png,2,0
1,1,test,second_gen_v_86_x_-30.png,2,2
1,1,test,second_gen_v_86_x_-60.png,2,2
1,1,test,second_gen_v_86_x_30.png,2,2
1,1,test,second_gen_v_86_x_60.png,2,2
1,1,test,second_gen_v_86_z_-30.png,2,2
1,1,test,second_gen_v_86_z_-60.png,2,2
1,1,test,second_gen_v_86_z_30.png,2,2
1,1,test,second_gen_v_86_z_60.png,2,2
1,2,train,second_gen_p_18_0.png,1,2
1,2,train,second_gen_p_18_z_90.png,2,2
1,2,train,second_gen_p_3_0.png,2,2
1,2,train,second_gen_p_3_z_90.png,0,2
1,2,train,second_gen_p_18_0.png,0,0
1,2,train,second_gen_p_18_z_90.png,1,2
1,2,train,second_gen_p_3_0.png,1,2
1,2,train,second_gen_p_3_z_90.png,1,2
1,2,train,second_gen_p_18_0.png,2,2
1,2,train,second_gen_p_18_z_90.png,0,2
1,2,train,second_gen_p_3_0.png,0,2
1,2,train,second_gen_p_3_z_90.png,2,2
1,2,train,second_gen_p_18_0.png,1,2
1,2,train,second_gen_p_18_z_90.png,0,2
1,2,train,second_gen_p_3_0.png,0,2
1,2,train,second_gen_p_3_z_90.png,2,1
1,2,train,second_gen_p_18_0.png,1,1
1,2,train,second_gen_p_18_z_90.png,2,2
1,2,train,second_gen_p_3_0.png,1,1
1,2,train,second_gen_p_3_z_90.png,0,0
1,2,train,second_gen_p_18_0.png,2,0
1,2,train,second_gen_p_18_z_90.png,1,1
1,2,train,second_gen_p_3_0.png,1,1
1,2,train,second_gen_p_3_z_90.png,0,2
1,2,train,second_gen_p_18_0.png,2,0
1,2,train,second_gen_p_18_z_90.png,0,0
1,2,train,second_gen_p_3_0.png,2,2
1,2,train,second_gen_p_3_z_90.png,0,0
1,2,train,second_gen_p_18_0.png,1,0
1,2,train,second_gen_p_18_z_90.png,0,0
1,2,train,second_gen_p_3_0.png,2,2
1,2,train,second_gen_p_3_z_90.png,0,0
1,2,train,second_gen_p_18_0.png,2,2
1,2,train,second_gen_p_18_z_90.png,1,1
1,2,train,second_gen_p_3_0.png,1,1
1,2,train,second_gen_p_3_z_90.png,2,2
1,2,test,second_gen_p_11_0.png,0,0
1,2,test,second_gen_p_11_x_-30.png,0,0
1,2,test,second_gen_p_11_x_-60.png,0,1
1,2,test,second_gen_p_11_x_30.png,0,0
1,2,test,second_gen_p_11_x_60.png,0,0
1,2,test,second_gen_p_11_z_-30.png,0,2
1,2,test,second_gen_p_11_z_-60.png,0,0
1,2,test,second_gen_p_11_z_30.png,0,0
1,2,test,second_gen_p_11_z_60.png,0,0
1,2,test,second_gen_p_8_x_-30.png,0,0
1,2,test,second_gen_p_8_x_-60.png,0,1
1,2,test,second_gen_p_8_x_30.png,0,1
1,2,test,second_gen_p_8_x_60.png,0,1
1,2,test,second_gen_p_8_z_-30.png,0,0
1,2,test,second_gen_p_8_z_-60.png,0,1
1,2,test,second_gen_p_8_z_30.png,0,0
1,2,test,second_gen_p_8_z_60.png,0,0
1,2,test,second_gen_q_45_x_-30.png,1,1
1,2,test,second_gen_q_45_x_-60.png,1,1
1,2,test,second_gen_q_45_x_30.png,1,1
1,2,test,second_gen_q_45_x_60.png,1,1
1,2,test,second_gen_q_45_z_-30.png,1,1
1,2,test,second_gen_q_45_z_-60.png,1,1
1,2,test,second_gen_q_45_z_30.png,1,1
1,2,test,second_gen_q_45_z_60.png,1,1
1,2,test,second_gen_q_61_0.png,1,1
1,2,test,second_gen_q_61_x_-30.png,1,1
1,2,test,second_gen_q_61_x_-60.png,1,1
1,2,test,second_gen_q_61_x_30.png,1,1
1,2,test,second_gen_q_61_x_60.png,1,0
1,2,test,second_gen_q_61_z_-30.png,1,2
1,2,test,second_gen_q_61_z_-60.png,1,2
1,2,test,second_gen_q_61_z_30.png,1,1
1,2,test,second_gen_q_61_z_60.png,1,0
1,2,test,second_gen_v_15_x_-30.png,2,2
1,2,test,second_gen_v_15_x_-60.png,2,2
1,2,test,second_gen_v_15_x_30.png,2,2
1,2,test,second_gen_v_15_x_60.png,2,0
1,2,test,second_gen_v_15_z_-30.png,2,2
1,2,test,second_gen_v_15_z_-60.png,2,2
1,2,test,second_gen_v_15_z_30.png,2,2
1,2,test,second_gen_v_15_z_60.png,2,2
1,2,test,second_gen_v_20_0.png,2,0
1,2,test,second_gen_v_20_x_-30.png,2,0
1,2,test,second_gen_v_20_x_-60.png,2,0
1,2,test,second_gen_v_20_x_30.png,2,0
1,2,test,second_gen_v_20_x_60.png,2,0
1,2,test,second_gen_v_20_z_-30.png,2,0
1,2,test,second_gen_v_20_z_-60.png,2,0
1,2,test,second_gen_v_20_z_30.png,2,2
1,2,test,second_gen_v_20_z_60.png,2,2
1,3,train,second_gen_p_18_0.png,1,1
1,3,train,second_gen_p_18_z_90.png,0,0
1,3,train,second_gen_p_3_0.png,1,1
1,3,train,second_gen_p_3_z_90.png,0,0
1,3,train,second_gen_p_18_0.png,1,1
1,3,train,second_gen_p_18_z_90.png,2,2
1,3,train,second_gen_p_3_0.png,1,1
1,3,train,second_gen_p_3_z_90.png,1,1
1,3,train,second_gen_p_18_0.png,2,2
1,3,train,second_gen_p_18_z_90.png,2,2
1,3,train,second_gen_p_3_0.png,2,2
1,3,train,second_gen_p_3_z_90.png,0,0
1,3,train,second_gen_p_18_0.png,0,1
1,3,train,second_gen_p_18_z_90.png,2,2
1,3,train,second_gen_p_3_0.png,1,1
1,3,train,second_gen_p_3_z_90.png,2,2
1,3,train,second_gen_p_18_0.png,2,2
1,3,train,second_gen_p_18_z_90.png,1,1
1,3,train,second_gen_p_3_0.png,0,2
1,3,train,second_gen_p_3_z_90.png,1,1
1,3,train,second_gen_p_18_0.png,0,2
1,3,train,second_gen_p_18_z_90.png,0,1
1,3,train,second_gen_p_3_0.png,2,2
1,3,train,second_gen_p_3_z_90.png,2,2
1,3,train,second_gen_p_18_0.png,2,2
1,3,train,second_gen_p_18_z_90.png,0,1
1,3,train,second_gen_p_3_0.png,1,1
1,3,train,second_gen_p_3_z_90.png,1,1
1,3,train,second_gen_p_18_0.png,2,2
1,3,train,second_gen_p_18_z_90.png,1,2
1,3,train,second_gen_p_3_0.png,0,0
1,3,train,second_gen_p_3_z_90.png,2,2
1,3,train,second_gen_p_18_0.png,1,1
1,3,train,second_gen_p_18_z_90.png,0,0
1,3,train,second_gen_p_3_0.png,0,0
1,3,train,second_gen_p_3_z_90.png,0,0
1,3,test,second_gen_p_1_0.png,0,0
1,3,test,second_gen_p_1_x_-30.png,0,0
1,3,test,second_gen_p_1_x_-60.png,0,0
1,3,test,second_gen_p_1_x_30.png,0,0
1,3,test,second_gen_p_1_x_60.png,0,2
1,3,test,second_gen_p_1_z_-30.png,0,0
1,3,test,second_gen_p_1_z_-60.png,0,0
1,3,test,second_gen_p_1_z_30.png,0,0
1,3,test,second_gen_p_1_z_60.png,0,0
1,3,test,second_gen_p_90_x_-30.png,0,0
1,3,test,second_gen_p_90_x_-60.png,0,0
1,3,test,second_gen_p_90_x_30.png,0,0
1,3,test,second_gen_p_90_x_60.png,0,0
1,3,test,second_gen_p_90_z_-30.png,0,0
1,3,test,second_gen_p_90_z_-60.png,0,1
1,3,test,second_gen_p_90_z_30.png,0,0
1,3,test,second_gen_p_90_z_60.png,0,0
1,3,test,second_gen_q_54_0.png,1,1
1,3,test,second_gen_q_54_x_-30.png,1,1
1,3,test,second_gen_q_54_x_-60.png,1,0
1,3,test,second_gen_q_54_x_30.png,1,1
1,3,test,second_gen_q_54_x_60.png,1,0
1,3,test,second_gen_q_54_z_-30.png,1,1
1,3,test,second_gen_q_54_z_-60.png,1,2
1,3,test,second_gen_q_54_z_30.png,1,1
1,3,test,second_gen_q_54_z_60.png,1,1
1,3,test,second_gen_q_92_x_-30.png,1,1
1,3,test,second_gen_q_92_x_-60.png,1,1
1,3,test,second_gen_q_92_x_30.png,1,1
1,3,test,second_gen_q_92_x_60.png,1,0
1,3,test,second_gen_q_92_z_-30.png,1,1
1,3,test,second_gen_q_92_z_-60.png,1,2
1,3,test,second_gen_q_92_z_30.png,1,1
1,3,test,second_gen_q_92_z_60.png,1,1
1,3,test,second_gen_v_33_0.png,2,2
1,3,test,second_gen_v_33_x_-30.png,2,2
1,3,test,second_gen_v_33_x_-60.png,2,0
1,3,test,second_gen_v_33_x_30.png,2,0
1,3,test,second_gen_v_33_x_60.png,2,0
1,3,test,second_gen_v_33_z_-30.png,2,2
1,3,test,second_gen_v_33_z_-60.png,2,0
1,3,test,second_gen_v_33_z_30.png,2,2
1,3,test,second_gen_v_33_z_60.png,2,1
